2025-12-30 11:36:25,111 | INFO | ROC-AUC: 0.755
2025-12-30 11:36:25,112 | INFO | PR-AUC: 0.230
2025-12-30 12:02:30,726 | INFO | ROC-AUC: 0.753
2025-12-30 12:02:30,727 | INFO | PR-AUC: 0.197
2025-12-30 12:14:09,131 | INFO | ROC-AUC: 0.746
2025-12-30 12:14:09,132 | INFO | PR-AUC: 0.204
2025-12-30 12:42:35,254 | INFO | ROC-AUC: 0.746
2025-12-30 12:42:35,255 | INFO | PR-AUC: 0.204
2025-12-30 12:45:09,998 | INFO | ROC-AUC: 0.746
2025-12-30 12:45:09,999 | INFO | PR-AUC: 0.204
2025-12-30 13:06:50,019 | INFO | ROC-AUC: 0.746
2025-12-30 13:06:50,020 | INFO | PR-AUC: 0.204
2025-12-30 13:34:13,844 | INFO | ROC-AUC: 0.746
2025-12-30 13:34:13,845 | INFO | PR-AUC: 0.204
2025-12-30 14:13:59,370 | INFO | ROC-AUC: 0.779
2025-12-30 14:13:59,371 | INFO | PR-AUC: 0.285
2025-12-30 14:15:14,985 | INFO | ROC-AUC: 0.779
2025-12-30 14:15:14,986 | INFO | PR-AUC: 0.285
2025-12-30 14:18:52,829 | INFO | ROC-AUC: 0.779
2025-12-30 14:18:52,838 | INFO | PR-AUC: 0.285
